iter	Passed	Remaining
1522	92248	513455
1523	92304	513367
1524	92363	513300
1525	92422	513230
1526	92481	513159
1527	92542	513104
1528	92602	513039
1529	92660	512961
1530	92720	512897
1531	92780	512835
1532	92841	512778
1533	92901	512715
1534	92962	512654
1535	93020	512582
1536	93080	512518
1537	93141	512462
1538	93203	512409
1539	93264	512346
1540	93324	512288
1541	93386	512232
1542	93447	512175
1543	93508	512118
1544	93571	512067
1545	93627	511985
1546	93687	511918
1547	93748	511861
1548	93808	511799
1549	93872	511753
1550	93932	511694
1551	93994	511638
1552	94053	511573
1553	94113	511507
1554	94172	511437
1555	94231	511367
1556	94290	511300
1557	94352	511245
1558	94412	511185
1559	94474	511130
1560	94533	511062
1561	94592	510993
1562	94652	510932
1563	94713	510870
1564	94773	510807
1565	94833	510742
1566	94894	510683
1567	94952	510612
1568	95009	510534
1569	95069	510468
1570	95129	510406
1571	95188	510336
1572	95251	510290
1573	95314	510241
1574	95375	510185
1575	95435	510120
1576	95495	510056
1577	95555	509993
1578	95615	509930
1579	95672	509851
1580	95733	509793
1581	95793	509726
1582	95854	509671
1583	95914	509606
1584	95972	509531
1585	96031	509464
1586	96090	509393
1587	96153	509346
1588	96213	509285
1589	96270	509202
1590	96332	509152
1591	96393	509092
1592	96453	509027
1593	96512	508963
1594	96574	508906
1595	96635	508851
1596	96695	508787
1597	96755	508720
1598	96810	508633
1599	96872	508580
1600	96931	508512
1601	97000	508495
1602	97063	508446
1603	97123	508385
1604	97185	508329
1605	97244	508263
1606	97302	508188
1607	97362	508126
1608	97423	508069
1609	97484	508008
1610	97543	507942
1611	97605	507889
1612	97664	507819
1613	97727	507773
1614	97791	507727
1615	97853	507675
1616	97913	507611
1617	97971	507538
1618	98034	507490
1619	98091	507410
1620	98150	507342
1621	98213	507297
1622	98272	507228
1623	98335	507176
1624	98395	507115
1625	98454	507049
1626	98510	506965
1627	98573	506915
1628	98635	506862
1629	98692	506784
1630	98755	506736
1631	98813	506659
1632	98876	506614
1633	98938	506561
1634	98999	506500
1635	99059	506439
1636	99115	506355
1637	99176	506295
1638	99235	506226
1639	99296	506170
1640	99354	506096
1641	99416	506043
1642	99477	505983
1643	99536	505917
1644	99595	505848
1645	99655	505784
1646	99715	505722
1647	99779	505676
1648	99836	505601
1649	99899	505553
1650	99958	505485
1651	100020	505431
1652	100079	505361
1653	100139	505298
1654	100200	505241
1655	100257	505162
1656	100316	505094
1657	100377	505037
1658	100437	504971
1659	100499	504918
